Frame	RMSD ($\AA$)
1	1.074
2	0.97
3	0.928
4	1.054
5	1.094
6	1.115
7	1.055
8	1.248
9	1.149
10	1.164
11	1.016
12	1.088
13	1.121
14	1.072
15	1.146
16	1.233
17	1.117
18	1.125
19	1.058
20	1.214
21	1.199
22	1.139
23	1.12
24	1.106
25	1.166
26	1.105
27	1.171
28	1.268
29	1.177
30	1.266
31	1.199
32	1.216
33	1.051
34	1.084
35	1.109
36	1.08
37	1.092
38	1.169
39	1.195
40	1.162
41	1.16
42	1.086
43	1.083
44	1.049
45	0.994
46	1.016
47	1.199
48	1.14
49	1.135
50	1.122
51	1.074
52	1.112
53	1.151
54	1.096
55	1.126
56	1.143
57	1.171
58	1.214
59	1.107
60	1.232
61	1.195
62	1.21
63	1.188
64	1.208
65	1.217
66	1.218
67	1.136
68	1.192
69	1.078
70	1.236
71	1.204
72	1.167
73	1.055
74	1.185
75	1.145
76	1.258
77	1.211
78	1.188
79	1.123
80	1.169
81	1.249
82	1.18
83	1.243
84	1.199
85	1.104
86	1.249
87	1.252
88	1.191
89	1.247
90	1.192
91	1.19
92	1.248
93	1.157
94	1.193
95	1.232
96	1.235
97	1.104
98	1.194
99	1.157
100	1.063
Average	1.15
Standard deviation	0.07
Median	1.158
