Frame	X	Y	Z
1	14.695	0.426	-13.766
2	15.305	0.67	-13.48
3	15.24	0.628	-13.72
4	15.17	0.107	-13.875
5	15.07	0.009	-13.84
6	15.51	0.364	-13.42
7	14.83	0.392	-13.45
8	15.03	-0.338	-13.625
9	15.51	-0.214	-13.44
10	15.086	-0.019	-13.95
11	15.21	0.431	-13.625
12	14.9	0.665	-13.62
13	15.26	1.11	-13.4
14	15.32	0.407	-13.82
15	14.83	0.424	-13.61
16	15.28	0.021	-13.6
17	15.445	0.585	-13.12
18	14.88	0.367	-13.63
19	15.4	0.126	-13.77
20	15.38	0.481	-13.445
21	15.04	-0.15	-14.1
22	15.484	0.028	-13.69
23	15.07	0.105	-13.62
24	14.83	0.103	-14.01
25	15.73	0.119	-13.625
26	15.27	0.009	-13.83
27	15.73	0.142	-13.65
28	15.05	-0.052	-14.05
29	15.27	0.005	-13.68
30	14.92	-0.604	-13.875
31	15.23	0.406	-13.73
32	15.56	-0.118	-13.4
33	15.22	0.085	-14.4
34	15.516	0.496	-13.29
35	15.32	0.011	-13.63
36	15.33	0.487	-13.45
37	15.08	0.216	-14.06
38	14.88	0.28	-13.89
39	15.37	0.29	-13.81
40	15.18	-0.118	-13.87
41	15.086	0.386	-13.55
42	14.984	0.309	-14.09
43	14.38	0.366	-14.26
44	15.016	0.754	-13.79
45	15.484	0.458	-13.71
46	15.29	0.956	-13.47
47	15.4	0.414	-13.45
48	15.39	0.411	-13.695
49	15.54	0.456	-13.51
50	15.2	0.602	-13.484
51	15.94	0.662	-12.98
52	15.55	0.648	-12.945
53	15.47	0.824	-13.44
54	15.38	1.243	-13.41
55	15.33	0.825	-13.336
56	15.36	1.184	-13.33
57	15.74	1.474	-12.83
58	15.414	1.099	-12.96
59	15.51	0.819	-13.54
60	14.9	0.767	-13.83
61	15.07	0.875	-13.664
62	15.17	0.838	-14.0
63	15.37	0.862	-14.055
64	15.48	0.904	-13.55
65	15.305	1.596	-13.52
66	15.625	1.134	-13.77
67	15.29	1.341	-13.305
68	15.83	1.13	-13.15
69	15.48	0.691	-13.89
70	15.63	1.025	-13.6
71	15.27	0.854	-13.56
72	15.4	1.091	-13.7
73	15.2	0.844	-13.66
74	15.6	0.698	-13.66
75	15.945	1.104	-13.72
76	15.68	1.098	-13.41
77	15.51	0.797	-13.21
78	15.56	0.634	-13.8
79	15.45	0.839	-13.24
80	15.766	0.681	-13.12
81	16.05	0.971	-13.445
82	16.03	0.848	-13.46
83	15.99	0.709	-13.266
84	15.61	1.283	-13.4
85	15.16	1.145	-13.445
86	15.59	0.768	-13.375
87	15.36	1.284	-12.82
88	15.55	0.672	-12.96
89	15.76	1.133	-13.54
90	15.555	0.151	-13.555
91	15.47	0.316	-13.39
92	15.83	0.479	-13.375
93	15.78	0.356	-13.62
94	15.88	0.738	-13.36
95	15.77	0.415	-13.07
96	15.484	0.647	-13.42
97	15.73	0.847	-13.21
98	15.32	0.731	-13.27
99	15.64	0.584	-12.766
100	15.77	0.187	-13.25
Average	15.375	0.564	-13.55
