Frame	X	Y	Z
1	1.997	-13.4	-12.1
2	0.976	-13.695	-12.78
3	1.714	-12.2	-12.234
4	1.505	-12.41	-12.664
5	1.746	-12.14	-13.1
6	1.963	-12.6	-12.3
7	2.445	-12.6	-12.28
8	2.049	-12.52	-12.1
9	1.968	-12.63	-12.14
10	2.232	-12.56	-11.98
11	2.309	-12.77	-12.04
12	2.557	-12.47	-12.41
13	1.922	-12.72	-12.0
14	1.889	-12.47	-12.25
15	2.145	-12.72	-12.41
16	2.41	-12.71	-12.33
17	2.047	-12.63	-12.086
18	2.777	-12.555	-12.266
19	2.105	-12.305	-11.71
20	2.674	-12.64	-12.34
21	2.422	-12.586	-12.87
22	2.234	-12.27	-12.2
23	2.36	-12.46	-12.48
24	2.51	-12.62	-12.31
25	2.422	-12.58	-11.984
26	2.37	-12.44	-12.11
27	2.285	-12.63	-12.2
28	1.98	-12.99	-11.36
29	1.345	-13.02	-11.51
30	1.585	-12.984	-11.914
31	1.518	-13.3	-11.39
32	1.345	-12.93	-12.12
33	1.703	-12.87	-12.67
34	1.64	-12.59	-12.46
35	1.856	-13.055	-11.74
36	1.905	-12.68	-12.414
37	1.711	-12.805	-12.35
38	2.373	-13.0	-11.9
39	1.71	-12.664	-12.65
40	2.645	-12.46	-12.734
41	2.33	-11.97	-13.016
42	3.24	-13.19	-11.92
43	3.82	-13.24	-11.54
44	2.406	-13.39	-12.19
45	1.604	-13.02	-11.75
46	3.326	-13.17	-11.97
47	3.12	-12.734	-11.91
48	3.684	-12.89	-12.055
49	4.516	-13.47	-12.24
50	4.707	-13.83	-11.66
51	4.996	-13.58	-12.266
52	5.035	-14.016	-11.734
53	4.562	-13.94	-12.04
54	5.17	-13.06	-12.42
55	4.535	-13.414	-11.484
56	5.965	-13.734	-11.68
57	5.43	-13.484	-11.93
58	5.586	-13.71	-11.26
59	5.305	-12.87	-11.93
60	5.727	-12.56	-12.586
61	5.02	-13.35	-11.83
62	5.043	-13.914	-11.805
63	4.344	-13.89	-11.586
64	4.43	-14.22	-11.86
65	4.754	-13.234	-12.27
66	5.13	-13.1	-12.91
67	5.902	-13.05	-12.46
68	5.32	-13.52	-11.7
69	5.58	-12.91	-12.42
70	5.945	-13.72	-12.305
71	6.29	-13.38	-12.445
72	6.117	-13.35	-11.75
73	5.758	-13.58	-12.25
74	5.43	-12.945	-11.984
75	5.754	-13.05	-11.83
76	6.055	-13.54	-11.73
77	5.984	-13.1	-12.266
78	6.17	-12.664	-12.586
79	6.395	-12.766	-12.234
80	5.69	-12.766	-12.03
81	6.023	-13.37	-11.8
82	5.906	-13.12	-12.17
83	6.035	-13.305	-11.555
84	5.55	-13.29	-12.49
85	5.184	-13.336	-12.695
86	6.2	-13.1	-11.9
87	5.934	-13.75	-11.59
88	6.34	-13.21	-11.98
89	5.54	-13.87	-11.36
90	5.684	-13.414	-12.35
91	6.41	-13.555	-12.3
92	6.035	-13.09	-12.0
93	6.1	-13.33	-11.79
94	5.953	-12.98	-11.85
95	6.016	-13.39	-12.0
96	5.54	-13.41	-12.01
97	6.24	-13.06	-11.92
98	4.69	-13.23	-12.41
99	5.848	-13.04	-11.914
100	6.555	-13.1	-12.44
Average	3.953	-13.05	-12.11
