Frame	X	Y	Z
1	-16.17	-1.624	-24.38
2	-16.83	-2.83	-24.69
3	-15.84	-2.402	-25.2
4	-16.14	-2.777	-24.62
5	-16.38	-0.606	-25.14
6	-16.17	-1.637	-24.58
7	-16.12	-1.204	-24.45
8	-16.06	-0.526	-24.22
9	-15.88	-1.145	-23.97
10	-16.47	-1.702	-23.92
11	-17.05	-1.67	-24.03
12	-16.88	-3.033	-23.81
13	-18.17	-2.258	-23.89
14	-17.34	-2.156	-23.69
15	-17.64	-1.295	-24.28
16	-17.38	-1.852	-24.2
17	-16.83	-1.896	-24.3
18	-17.19	-2.059	-24.25
19	-17.64	-1.888	-23.81
20	-17.06	-0.937	-24.38
21	-17.9	-0.249	-24.42
22	-17.94	-0.518	-24.08
23	-17.81	-1.582	-23.56
24	-17.02	-1.279	-24.05
25	-17.75	-1.11	-23.17
26	-18.03	-1.283	-23.89
27	-17.7	-0.297	-23.58
28	-18.25	-0.434	-23.95
29	-19.02	0.177	-24.12
30	-18.47	0.025	-23.77
31	-18.2	-0.691	-23.9
32	-18.9	-1.411	-23.53
33	-18.52	-1.937	-23.73
34	-18.22	-1.143	-23.98
35	-18.62	-1.472	-23.97
36	-18.55	-0.994	-23.78
37	-17.88	-0.828	-24.34
38	-18.27	-0.988	-24.02
39	-17.42	-0.253	-24.19
40	-17.61	-0.018	-24.89
41	-17.78	-0.921	-24.38
42	-17.45	-0.312	-24.64
43	-17.31	-0.414	-25.1
44	-17.12	-1.13	-24.66
45	-17.47	-1.291	-24.19
46	-16.58	-0.904	-24.34
47	-17.45	-1.18	-24.02
48	-17.48	-0.457	-24.06
49	-16.97	-1.068	-24.56
50	-17.1	0.072	-24.34
51	-17.75	-0.072	-24.58
52	-17.97	0.198	-24.48
53	-17.75	-0.6	-23.78
54	-17.4	-0.53	-24.42
55	-18.17	-0.856	-23.06
56	-18.23	-0.854	-23.11
57	-18.66	-1.043	-23.38
58	-18.1	-1.351	-23.5
59	-18.23	-0.307	-23.95
60	-18.19	-1.402	-23.4
61	-18.47	-0.552	-23.11
62	-18.28	-1.25	-23.08
63	-17.17	-1.216	-23.4
64	-17.56	-1.384	-23.45
65	-18.0	-1.253	-23.42
66	-17.12	-2.006	-23.62
67	-17.69	-0.642	-23.66
68	-17.84	-1.511	-23.31
69	-17.28	-1.962	-23.52
70	-17.92	-1.589	-23.7
71	-18.5	-1.505	-22.9
72	-18.52	-0.731	-23.45
73	-17.42	-0.479	-23.9
74	-17.78	-0.399	-23.53
75	-18.17	-0.878	-23.61
76	-18.03	-1.328	-22.94
77	-17.8	-0.983	-23.19
78	-17.52	0.176	-23.86
79	-16.94	-0.988	-23.92
80	-17.81	-0.966	-23.77
81	-18.08	-1.236	-23.83
82	-17.75	-0.596	-23.64
83	-17.78	-0.362	-23.2
84	-17.7	-0.617	-23.58
85	-17.84	0.495	-23.72
86	-18.38	-0.669	-23.11
87	-18.38	-0.781	-22.97
88	-17.8	0.364	-23.77
89	-17.9	0.26	-22.97
90	-18.22	-0.998	-23.31
91	-18.12	-0.51	-23.6
92	-17.72	-0.751	-24.61
93	-17.73	-1.689	-24.08
94	-17.66	-1.655	-23.16
95	-17.66	-0.554	-23.02
96	-17.08	-0.676	-23.31
97	-16.98	-2.133	-23.69
98	-16.94	-1.794	-24.2
99	-18.08	-1.313	-23.97
100	-18.17	-0.142	-24.27
Average	-17.62	-1.03	-23.88
