Frame	X	Y	Z
1	-15.48	-0.965	-26.39
2	-17.19	-1.158	-26.89
3	-16.77	-1.98	-26.22
4	-16.6	-2.338	-26.02
5	-16.8	-1.093	-25.84
6	-17.5	-3.121	-23.95
7	-17.42	-3.25	-24.52
8	-17.75	-2.87	-24.55
9	-17.7	-1.815	-24.39
10	-17.14	-3.027	-25.02
11	-17.53	-3.238	-24.34
12	-16.78	-2.744	-25.12
13	-17.66	-1.946	-24.53
14	-17.56	-1.234	-25.17
15	-17.52	-2.361	-24.8
16	-18.14	-2.203	-24.48
17	-17.2	-2.828	-24.52
18	-16.95	-2.809	-24.55
19	-18.22	-1.822	-24.86
20	-17.72	-2.256	-24.03
21	-18.17	-2.076	-24.0
22	-18.03	-1.469	-24.0
23	-18.4	-2.06	-24.23
24	-17.97	-1.661	-24.4
25	-17.73	-2.344	-24.03
26	-17.14	-2.69	-24.36
27	-17.84	-2.607	-24.36
28	-17.2	-2.078	-24.73
29	-16.88	-0.941	-24.53
30	-17.34	-1.485	-24.3
31	-17.1	-1.337	-24.56
32	-17.3	-1.405	-24.69
33	-17.44	-2.018	-24.4
34	-17.06	-1.978	-24.48
35	-16.47	-1.583	-24.36
36	-16.77	-1.795	-24.2
37	-16.98	-1.667	-24.25
38	-16.36	-1.88	-24.73
39	-17.1	-1.251	-24.42
40	-16.72	-2.55	-24.69
41	-16.2	-2.436	-24.7
42	-16.78	-2.139	-24.34
43	-17.06	-2.902	-23.98
44	-17.25	-2.703	-24.34
45	-16.14	-1.639	-24.78
46	-18.06	-1.763	-23.88
47	-17.58	-2.504	-23.66
48	-17.38	-2.863	-23.36
49	-17.94	-2.807	-23.19
50	-16.81	-1.603	-24.23
51	-16.47	-2.102	-23.86
52	-16.95	-2.207	-23.9
53	-17.45	-3.092	-23.31
54	-16.95	-2.383	-24.12
55	-16.66	-2.236	-23.94
56	-17.2	-1.879	-23.34
57	-17.19	-1.744	-23.9
58	-16.86	-1.843	-23.9
59	-17.6	-2.826	-23.9
60	-17.66	-2.498	-23.88
61	-16.9	-2.102	-23.89
62	-16.94	-2.69	-23.66
63	-17.4	-2.312	-24.03
64	-17.3	-2.373	-24.1
65	-17.1	-2.045	-23.95
66	-16.9	-2.566	-23.16
67	-17.08	-2.748	-22.89
68	-16.69	-2.24	-24.2
69	-17.45	-1.785	-23.62
70	-17.48	-1.541	-23.78
71	-17.92	-1.468	-23.34
72	-17.02	-1.401	-23.94
73	-17.95	-1.455	-23.45
74	-17.75	-2.191	-23.53
75	-16.98	-2.506	-23.16
76	-18.03	-2.715	-23.48
77	-17.45	-3.088	-23.11
78	-16.95	-2.482	-23.78
79	-17.33	-2.885	-23.22
80	-16.98	-3.86	-23.22
81	-17.05	-3.293	-23.2
82	-17.23	-3.148	-23.36
83	-17.06	-3.123	-23.14
84	-16.73	-3.104	-23.53
85	-17.28	-3.123	-22.92
86	-16.45	-3.402	-23.73
87	-17.2	-3.61	-23.53
88	-16.73	-3.775	-23.72
89	-17.3	-3.674	-22.83
90	-16.39	-3.418	-23.28
91	-16.62	-2.023	-24.1
92	-16.78	-3.691	-23.33
93	-16.67	-2.828	-24.0
94	-17.08	-2.676	-23.7
95	-17.17	-2.195	-24.8
96	-16.64	-1.966	-24.3
97	-16.6	-3.428	-23.86
98	-16.4	-3.254	-23.83
99	-16.4	-3.004	-24.44
100	-17.66	-2.129	-23.95
Average	-17.17	-2.354	-24.11
