Frame	X	Y	Z
1	15.195	1.433	-13.79
2	15.22	1.899	-13.41
3	15.695	1.583	-13.42
4	15.83	1.754	-12.32
5	15.49	1.683	-13.1
6	15.34	1.336	-13.95
7	15.445	1.649	-13.12
8	15.984	1.877	-12.99
9	15.695	1.42	-12.96
10	15.625	1.398	-13.12
11	15.64	1.448	-12.98
12	15.51	1.014	-13.36
13	15.71	1.916	-13.78
14	15.46	1.088	-13.32
15	15.56	1.91	-13.22
16	15.664	1.706	-13.09
17	15.8	1.607	-12.83
18	15.47	1.87	-13.19
19	15.79	1.25	-12.64
20	15.66	1.763	-13.12
21	15.79	1.397	-12.78
22	15.62	1.136	-13.24
23	15.44	1.484	-13.09
24	15.44	1.448	-12.94
25	15.086	1.752	-13.086
26	15.18	1.616	-13.2
27	15.516	1.728	-12.72
28	15.44	1.756	-13.02
29	15.33	1.321	-12.93
30	15.27	1.543	-13.37
31	14.97	0.814	-13.2
32	15.31	1.018	-13.7
33	15.64	1.33	-12.76
34	16.03	1.396	-13.16
35	15.63	1.674	-13.01
36	15.57	1.473	-13.52
37	15.6	1.231	-12.99
38	15.01	1.819	-13.38
39	15.66	1.372	-13.055
40	15.195	1.168	-13.72
41	15.17	1.315	-13.05
42	15.09	1.817	-13.47
43	15.54	1.55	-12.89
44	15.19	1.652	-13.39
45	15.15	0.808	-13.81
46	15.55	1.196	-13.555
47	15.59	0.918	-13.55
48	15.17	1.501	-13.35
49	15.0	1.533	-13.016
50	15.12	0.952	-13.44
51	15.17	0.955	-13.51
52	15.06	1.12	-14.25
53	14.914	0.712	-14.09
54	15.125	1.175	-13.95
55	15.016	0.984	-13.68
56	14.97	1.212	-13.58
57	15.3	0.976	-13.58
58	15.17	1.503	-13.37
59	14.89	1.012	-13.88
60	15.13	1.385	-13.17
61	15.31	1.698	-12.914
62	15.46	1.81	-13.06
63	15.15	1.464	-13.414
64	15.26	1.507	-13.21
65	15.7	0.956	-13.43
66	15.23	0.85	-13.92
67	15.21	1.193	-13.61
68	15.04	0.813	-13.66
69	15.39	1.107	-13.38
70	15.086	1.549	-13.016
71	15.21	0.938	-13.51
72	15.34	0.874	-13.6
73	15.08	1.189	-13.555
74	14.84	1.188	-13.34
75	15.28	1.263	-13.42
76	15.23	0.454	-13.586
77	14.88	1.232	-13.41
78	15.305	0.919	-14.31
79	15.52	1.493	-13.14
80	15.66	1.116	-13.24
81	15.1	0.347	-13.92
82	15.24	0.538	-14.05
83	15.21	1.231	-13.63
84	15.14	1.265	-13.89
85	15.09	1.185	-13.36
86	15.01	1.047	-14.01
87	15.2	1.451	-13.42
88	15.13	1.548	-13.38
89	15.13	1.321	-13.66
90	14.92	1.335	-13.91
91	15.14	1.451	-13.34
92	15.1	1.437	-13.46
93	14.66	1.432	-13.56
94	15.3	1.213	-13.44
95	14.57	1.196	-14.22
96	14.96	1.469	-13.34
97	14.99	1.219	-13.65
98	15.21	1.122	-13.4
99	14.96	1.041	-13.7
100	15.28	1.038	-13.78
Average	15.305	1.318	-13.39
