Frame	X	Y	Z
1	-2.164	-4.254	-25.73
2	-3.096	-3.807	-26.48
3	-3.92	-6.117	-26.77
4	-3.643	-4.863	-26.83
5	-4.125	-3.578	-27.61
6	-5.535	-3.43	-27.73
7	-6.637	-5.523	-27.72
8	-6.824	-5.312	-28.03
9	-5.773	-4.066	-27.17
10	-5.355	-4.477	-26.48
11	-5.69	-4.535	-27.47
12	-4.805	-2.941	-27.44
13	-5.87	-3.445	-28.12
14	-4.453	-3.334	-28.1
15	-4.844	-3.803	-27.6
16	-5.824	-4.312	-27.44
17	-5.297	-3.328	-28.22
18	-4.324	-3.617	-27.72
19	-5.395	-2.688	-28.08
20	-5.965	-3.705	-27.78
21	-6.82	-2.498	-28.48
22	-5.965	-2.686	-28.38
23	-6.15	-3.277	-28.52
24	-5.836	-3.455	-28.25
25	-5.707	-3.383	-27.36
26	-5.594	-3.525	-28.12
27	-5.953	-3.732	-28.36
28	-5.277	-4.43	-27.86
29	-6.45	-2.479	-27.55
30	-6.12	-3.629	-28.23
31	-5.07	-2.928	-27.83
32	-5.46	-3.42	-27.39
33	-4.78	-3.035	-28.1
34	-5.02	-3.28	-27.75
35	-4.605	-3.084	-27.92
36	-5.15	-3.902	-28.94
37	-5.18	-3.082	-28.14
38	-4.66	-4.508	-27.27
39	-4.99	-3.207	-27.14
40	-5.902	-3.666	-27.58
41	-5.324	-2.361	-27.88
42	-6.066	-4.31	-28.14
43	-5.457	-3.281	-27.42
44	-5.785	-2.852	-27.2
45	-4.48	-4.164	-27.6
46	-6.63	-3.586	-27.53
47	-6.586	-4.816	-26.73
48	-5.34	-4.305	-27.05
49	-6.027	-3.248	-27.42
50	-5.652	-3.492	-28.16
51	-4.297	-3.133	-27.53
52	-6.05	-3.996	-27.36
53	-6.01	-4.27	-27.05
54	-4.91	-3.71	-27.47
55	-4.625	-3.818	-28.03
56	-6.066	-2.436	-27.9
57	-3.81	-3.432	-27.61
58	-4.29	-3.207	-28.56
59	-4.934	-3.83	-27.25
60	-5.996	-3.08	-28.25
61	-5.52	-3.621	-27.97
62	-5.86	-3.883	-27.86
63	-5.746	-4.07	-27.64
64	-5.53	-3.566	-28.44
65	-4.79	-3.549	-27.06
66	-4.06	-2.916	-27.14
67	-4.156	-3.045	-28.05
68	-4.26	-4.14	-27.7
69	-4.895	-2.201	-27.5
70	-5.953	-3.297	-29.45
71	-5.92	-3.576	-27.94
72	-5.2	-3.098	-28.02
73	-5.758	-2.088	-28.75
74	-5.78	-3.639	-27.98
75	-4.26	-3.697	-28.03
76	-6.746	-4.027	-28.05
77	-5.746	-3.203	-27.81
78	-5.816	-3.795	-27.02
79	-5.523	-3.127	-27.78
80	-5.2	-4.754	-27.05
81	-5.53	-3.137	-27.4
82	-5.188	-2.553	-27.95
83	-5.492	-3.422	-27.66
84	-4.402	-4.23	-26.84
85	-5.613	-4.203	-27.16
86	-5.13	-3.137	-27.44
87	-5.74	-4.07	-27.62
88	-4.59	-4.8	-27.39
89	-6.316	-3.691	-27.84
90	-5.453	-3.443	-27.73
91	-5.086	-2.754	-27.48
92	-5.28	-4.277	-27.86
93	-4.324	-3.525	-26.8
94	-5.258	-4.4	-27.84
95	-4.984	-3.307	-27.7
96	-4.844	-5.027	-27.48
97	-5.617	-4.84	-27.33
98	-4.28	-5.727	-27.77
99	-5.145	-4.027	-27.95
100	-5.71	-3.193	-28.56
Average	-5.293	-3.668	-27.69
