Frame	X	Y	Z
1	4.26	6.46	-15.92
2	4.305	6.504	-15.6
3	4.445	6.34	-15.88
4	4.586	6.426	-16.12
5	4.535	6.215	-15.93
6	4.625	6.3	-15.94
7	4.477	6.32	-16.11
8	4.652	6.426	-16.1
9	4.36	6.348	-15.86
10	4.93	6.383	-15.83
11	4.45	6.258	-16.02
12	4.348	6.176	-15.945
13	4.508	5.605	-15.85
14	4.434	5.902	-15.94
15	4.277	6.254	-15.79
16	4.438	5.883	-16.19
17	4.43	6.14	-16.06
18	4.13	6.027	-15.93
19	4.496	5.72	-15.84
20	4.164	5.96	-15.67
21	4.152	5.73	-15.82
22	4.516	6.15	-15.88
23	4.234	5.914	-15.69
24	3.766	6.12	-16.12
25	3.941	5.93	-16.16
26	4.535	6.04	-15.93
27	4.58	5.96	-15.805
28	4.26	5.832	-15.46
29	4.91	5.805	-16.05
30	4.38	5.42	-15.85
31	3.926	6.05	-15.984
32	4.11	5.66	-15.43
33	4.047	6.023	-15.86
34	4.465	5.742	-15.625
35	3.896	5.855	-15.62
36	4.22	6.016	-15.85
37	4.457	6.598	-15.484
38	4.086	6.234	-15.67
39	4.15	6.168	-15.78
40	3.969	6.07	-15.67
41	3.947	6.26	-15.555
42	4.145	6.21	-15.914
43	4.57	6.35	-15.8
44	4.234	6.42	-15.65
45	4.355	5.613	-15.93
46	4.11	6.13	-15.85
47	4.387	5.773	-16.06
48	4.34	6.33	-15.78
49	4.168	6.07	-15.68
50	4.094	5.977	-15.79
51	4.062	6.203	-15.72
52	4.1	5.766	-15.95
53	3.604	5.61	-15.82
54	4.09	5.715	-15.96
55	3.98	5.836	-15.71
56	3.707	5.664	-15.79
57	4.22	5.97	-15.625
58	3.898	6.176	-15.71
59	3.947	6.074	-15.84
60	4.027	6.125	-15.875
61	4.047	5.99	-15.58
62	3.988	6.016	-15.68
63	4.14	5.79	-16.02
64	3.96	6.254	-15.91
65	4.414	6.39	-15.984
66	4.312	5.76	-15.64
67	4.43	6.29	-15.79
68	3.877	5.766	-15.75
69	4.33	5.656	-15.81
70	3.953	6.066	-16.12
71	4.363	5.855	-15.875
72	3.932	6.31	-15.79
73	4.15	5.14	-15.68
74	4.137	5.773	-16.12
75	4.516	6.094	-15.84
76	4.125	6.145	-15.805
77	3.822	6.15	-15.87
78	4.16	5.88	-15.87
79	4.05	6.016	-15.82
80	4.62	6.4	-15.92
81	4.1	6.258	-15.87
82	4.145	6.53	-15.98
83	4.242	6.258	-15.74
84	4.04	6.305	-15.79
85	4.047	5.66	-15.766
86	4.477	6.105	-15.625
87	4.027	5.56	-15.695
88	3.93	6.035	-15.67
89	4.035	5.84	-15.77
90	3.92	5.86	-15.66
91	4.125	6.066	-15.85
92	4.47	6.043	-15.87
93	4.195	6.1	-15.69
94	4.062	5.805	-15.93
95	3.88	5.555	-15.7
96	3.861	6.113	-15.66
97	3.826	6.047	-16.1
98	4.035	5.395	-15.8
99	3.963	5.87	-15.98
100	4.062	5.41	-16.0
Average	4.203	6.02	-15.83
