Frame	X	Y	Z
1	6.41	15.48	-16.6
2	5.637	15.38	-16.14
3	5.793	15.664	-16.61
4	5.914	15.83	-16.52
5	6.668	16.06	-16.22
6	6.7	15.67	-16.3
7	6.72	15.92	-16.5
8	6.33	15.56	-16.48
9	6.195	15.7	-16.05
10	6.15	15.93	-16.02
11	6.152	15.555	-16.23
12	6.223	15.62	-16.83
13	6.49	15.0	-16.67
14	6.69	15.484	-16.27
15	6.01	15.984	-16.53
16	6.586	15.41	-16.62
17	5.723	15.664	-16.69
18	5.457	15.805	-16.52
19	6.023	15.17	-16.86
20	5.37	15.695	-16.19
21	5.78	14.77	-16.75
22	5.74	15.58	-15.84
23	5.58	15.58	-15.94
24	5.97	15.1	-16.88
25	5.47	15.44	-16.5
26	6.336	15.21	-16.33
27	5.95	15.41	-16.4
28	5.617	15.12	-16.45
29	5.645	15.69	-16.48
30	6.03	14.78	-16.8
31	5.617	15.55	-16.28
32	6.008	15.016	-16.06
33	5.773	15.39	-16.19
34	5.78	15.22	-16.39
35	5.375	15.59	-16.36
36	6.246	14.92	-16.5
37	5.89	15.79	-16.17
38	6.39	14.94	-16.22
39	5.504	15.14	-15.96
40	5.36	15.4	-16.02
41	5.71	15.24	-16.28
42	5.42	15.77	-16.31
43	6.176	15.81	-16.12
44	5.52	15.4	-16.48
45	5.824	15.36	-16.78
46	5.625	15.56	-16.6
47	5.99	14.96	-16.89
48	4.61	15.52	-16.22
49	5.438	15.39	-16.28
50	5.15	15.484	-16.6
51	5.773	15.266	-16.67
52	4.73	15.945	-16.47
53	5.285	14.98	-16.38
54	5.78	15.305	-16.62
55	5.316	15.42	-16.4
56	5.64	14.75	-16.77
57	5.02	15.44	-16.19
58	5.934	15.56	-16.02
59	5.855	15.42	-16.45
60	5.242	15.72	-16.27
61	5.56	15.43	-15.984
62	5.73	15.73	-16.17
63	5.168	14.99	-16.39
64	5.008	15.2	-16.55
65	6.395	15.484	-16.38
66	6.34	15.22	-16.45
67	6.547	15.305	-16.66
68	5.637	15.055	-17.19
69	6.406	15.33	-16.2
70	6.137	14.89	-16.61
71	6.145	14.65	-16.77
72	6.137	14.81	-16.75
73	5.82	15.03	-16.77
74	6.344	14.97	-16.83
75	5.887	15.234	-16.86
76	5.832	14.83	-16.48
77	5.8	14.98	-16.72
78	5.832	15.26	-16.89
79	5.61	16.02	-16.84
80	5.406	15.414	-16.97
81	6.34	15.086	-17.38
82	5.168	15.484	-16.86
83	5.93	15.19	-16.7
84	5.676	15.234	-17.03
85	5.17	15.445	-16.75
86	6.117	15.07	-16.94
87	6.074	14.78	-16.89
88	5.46	15.24	-16.72
89	5.17	15.43	-16.83
90	5.977	15.34	-16.55
91	5.926	15.46	-16.33
92	6.484	15.24	-16.86
93	5.168	15.414	-16.48
94	5.574	15.484	-16.8
95	5.996	15.12	-16.73
96	5.44	14.59	-16.17
97	4.598	14.47	-16.02
98	5.34	15.01	-16.06
99	4.785	14.2	-16.55
100	4.996	14.71	-16.31
Average	5.785	15.32	-16.5
