Frame	X	Y	Z
1	-8.414	4.754	-21.86
2	-7.87	4.363	-22.27
3	-7.523	3.807	-22.02
4	-7.312	4.055	-22.3
5	-7.758	4.57	-21.89
6	-8.4	4.91	-21.75
7	-8.266	4.223	-22.0
8	-8.0	4.21	-22.19
9	-8.52	4.23	-21.66
10	-8.195	4.016	-21.9
11	-8.13	3.705	-22.23
12	-8.53	4.594	-21.64
13	-8.266	4.26	-21.64
14	-7.69	4.055	-22.36
15	-8.516	4.234	-21.52
16	-8.62	4.297	-22.1
17	-8.91	3.842	-21.69
18	-8.73	4.008	-21.78
19	-8.52	4.285	-21.72
20	-8.64	3.793	-21.27
21	-9.28	4.434	-21.27
22	-9.07	4.562	-21.4
23	-8.85	3.809	-21.39
24	-8.695	4.13	-21.42
25	-8.445	3.92	-21.33
26	-8.43	4.24	-21.44
27	-8.664	4.152	-21.56
28	-8.086	3.975	-21.84
29	-8.54	4.62	-21.56
30	-9.22	5.062	-21.36
31	-8.6	4.645	-21.42
32	-9.06	4.266	-21.28
33	-8.695	4.66	-21.55
34	-8.73	4.332	-21.33
35	-8.45	3.863	-21.42
36	-8.27	4.26	-21.58
37	-8.72	4.707	-21.28
38	-8.17	4.625	-21.47
39	-8.62	4.535	-21.08
40	-8.79	4.12	-20.97
41	-8.44	4.81	-21.33
42	-8.23	3.988	-21.45
43	-7.914	4.164	-21.95
44	-9.04	4.395	-21.08
45	-8.36	3.896	-21.23
46	-9.1	4.477	-21.34
47	-8.63	3.576	-20.98
48	-8.81	3.787	-20.98
49	-8.516	3.953	-21.7
50	-8.75	4.344	-21.2
51	-8.375	3.943	-21.12
52	-8.625	3.75	-20.69
53	-8.73	3.754	-20.89
54	-8.375	4.28	-21.11
55	-8.555	4.13	-21.19
56	-8.68	4.383	-21.16
57	-8.805	4.2	-21.38
58	-8.67	4.707	-21.03
59	-9.41	4.137	-20.92
60	-8.95	4.27	-21.3
61	-8.87	3.906	-21.06
62	-8.65	3.908	-21.08
63	-8.93	4.258	-20.89
64	-8.89	3.768	-21.16
65	-8.586	4.676	-21.5
66	-8.88	4.3	-21.14
67	-8.87	4.09	-21.05
68	-8.34	4.21	-21.36
69	-8.805	4.12	-21.03
70	-8.83	3.98	-21.14
71	-8.72	3.604	-21.1
72	-8.625	4.73	-21.28
73	-8.89	4.402	-20.98
74	-8.68	4.117	-21.2
75	-9.055	4.355	-20.9
76	-9.11	4.41	-21.31
77	-9.41	4.34	-21.03
78	-9.52	4.38	-20.89
79	-9.66	4.543	-20.86
80	-9.38	4.098	-21.05
81	-8.805	4.246	-20.98
82	-9.45	3.863	-21.08
83	-8.86	4.133	-21.22
84	-9.336	3.926	-21.02
85	-9.28	4.246	-21.25
86	-8.98	4.0	-21.2
87	-9.29	3.865	-21.2
88	-8.54	3.543	-21.19
89	-9.19	4.086	-21.06
90	-8.63	3.664	-21.14
91	-9.09	4.41	-20.86
92	-8.695	4.06	-21.25
93	-9.06	4.754	-21.14
94	-8.75	3.914	-21.02
95	-8.94	4.65	-21.3
96	-8.27	4.16	-21.73
97	-8.87	4.094	-21.31
98	-8.83	4.004	-21.08
99	-8.695	3.953	-21.02
100	-9.31	4.4	-20.86
Average	-8.69	4.203	-21.34
