Frame	X	Y	Z
1	-6.152	-2.605	-27.44
2	-5.816	-2.426	-27.39
3	-5.98	-3.12	-27.34
4	-5.805	-2.297	-27.12
5	-5.3	-1.963	-28.1
6	-7.89	-3.332	-28.1
7	-7.21	-2.33	-27.19
8	-7.01	-1.714	-27.34
9	-6.395	-3.33	-27.11
10	-6.258	-3.629	-27.56
11	-6.64	-4.008	-27.6
12	-5.688	-3.383	-27.53
13	-6.383	-4.055	-27.61
14	-7.17	-5.23	-27.25
15	-6.184	-2.135	-27.36
16	-5.242	-2.615	-26.64
17	-5.125	-3.639	-28.03
18	-6.01	-3.48	-27.58
19	-5.96	-3.479	-27.33
20	-5.977	-2.738	-28.05
21	-7.34	-3.049	-28.12
22	-7.586	-4.35	-28.31
23	-6.98	-3.576	-27.39
24	-6.32	-3.123	-27.73
25	-7.297	-3.139	-27.5
26	-6.816	-2.896	-27.48
27	-7.855	-3.594	-28.31
28	-7.668	-4.27	-28.03
29	-9.195	-2.812	-28.05
30	-8.93	-2.166	-28.06
31	-7.86	-2.992	-28.3
32	-9.14	-4.3	-27.92
33	-8.305	-3.342	-27.94
34	-8.805	-4.156	-27.8
35	-8.945	-4.18	-27.61
36	-8.695	-3.984	-27.9
37	-7.406	-4.1	-27.44
38	-8.445	-3.9	-28.62
39	-8.11	-3.031	-27.28
40	-8.266	-2.74	-28.03
41	-8.28	-3.12	-28.19
42	-8.34	-4.285	-27.5
43	-8.38	-4.164	-27.48
44	-8.67	-5.02	-27.36
45	-8.266	-4.69	-26.94
46	-7.8	-4.133	-27.05
47	-8.93	-4.56	-27.39
48	-8.66	-3.883	-27.56
49	-6.58	-3.432	-27.73
50	-8.63	-3.006	-27.89
51	-8.03	-3.06	-27.81
52	-8.95	-4.14	-27.02
53	-8.98	-3.633	-26.9
54	-8.875	-5.094	-27.62
55	-8.89	-4.04	-27.2
56	-8.555	-3.215	-27.81
57	-9.63	-2.752	-27.78
58	-9.805	-2.76	-28.05
59	-9.34	-3.7	-27.02
60	-8.77	-3.312	-27.69
61	-8.734	-3.9	-27.52
62	-9.195	-3.365	-27.44
63	-8.16	-4.008	-27.94
64	-8.234	-3.732	-27.44
65	-9.31	-4.707	-27.6
66	-8.266	-3.176	-27.73
67	-8.54	-3.387	-27.52
68	-8.39	-3.33	-27.81
69	-9.22	-4.95	-27.6
70	-9.94	-3.912	-27.95
71	-10.06	-2.992	-27.4
72	-9.17	-3.342	-27.52
73	-8.11	-3.047	-27.66
74	-8.14	-3.951	-28.53
75	-8.125	-3.3	-28.0
76	-9.35	-4.266	-27.08
77	-8.59	-3.883	-27.12
78	-8.93	-2.807	-28.0
79	-9.27	-3.896	-27.56
80	-8.75	-6.043	-27.06
81	-8.63	-6.035	-28.19
82	-8.84	-5.863	-27.88
83	-8.445	-5.1	-28.25
84	-7.59	-4.85	-27.73
85	-8.1	-3.195	-27.53
86	-8.18	-3.734	-26.8
87	-7.934	-2.818	-27.25
88	-8.01	-2.617	-27.53
89	-8.49	-4.098	-26.98
90	-8.83	-4.152	-27.4
91	-8.59	-4.79	-27.14
92	-9.11	-4.086	-26.69
93	-10.016	-4.66	-26.72
94	-10.4	-5.074	-26.67
95	-10.664	-3.764	-26.86
96	-9.81	-3.799	-26.84
97	-9.8	-3.627	-27.19
98	-9.38	-4.38	-26.73
99	-8.97	-2.398	-26.98
100	-8.64	-3.36	-26.81
Average	-8.12	-3.656	-27.55
