Frame	X	Y	Z
1	4.176	5.805	-15.914
2	4.2	5.67	-16.19
3	4.13	5.543	-15.78
4	4.625	5.93	-16.08
5	4.39	5.46	-16.11
6	4.55	5.367	-15.766
7	4.24	5.39	-16.03
8	4.18	5.22	-15.49
9	4.703	5.414	-16.02
10	3.785	5.434	-15.58
11	4.125	5.633	-15.67
12	4.074	5.73	-15.76
13	4.074	5.574	-15.83
14	4.35	5.684	-16.14
15	3.816	5.246	-15.87
16	4.203	5.445	-16.03
17	3.984	5.406	-15.82
18	3.893	5.414	-16.03
19	4.055	5.43	-15.56
20	4.168	5.246	-15.88
21	4.195	5.613	-15.805
22	4.344	5.246	-15.87
23	4.152	5.465	-15.87
24	4.113	5.367	-15.83
25	4.355	5.383	-16.27
26	4.312	5.098	-15.87
27	4.69	5.03	-15.734
28	4.086	5.203	-15.91
29	4.414	5.58	-15.81
30	3.941	5.293	-15.75
31	4.64	5.457	-16.0
32	4.336	5.6	-15.92
33	4.22	5.742	-15.78
34	4.332	5.414	-16.19
35	4.363	5.47	-16.06
36	4.367	5.707	-15.52
37	4.19	5.797	-16.08
38	3.72	5.14	-15.76
39	3.965	5.027	-15.63
40	3.896	5.06	-15.79
41	3.908	5.375	-15.64
42	4.18	4.84	-15.45
43	3.748	4.793	-15.516
44	3.8	5.316	-15.93
45	4.53	5.65	-15.67
46	4.598	5.727	-15.95
47	4.656	5.81	-15.766
48	4.656	5.367	-15.59
49	4.617	5.3	-15.82
50	4.645	5.484	-16.08
51	4.812	5.094	-15.96
52	4.312	5.145	-15.86
53	4.555	4.953	-15.94
54	4.145	5.55	-15.8
55	4.35	5.37	-16.11
56	4.52	4.875	-15.97
57	4.742	4.85	-15.93
58	4.5	5.05	-15.88
59	4.414	5.32	-15.734
60	4.17	5.39	-15.8
61	4.348	4.754	-15.81
62	4.566	5.336	-16.1
63	4.414	5.82	-15.88
64	4.434	5.47	-15.69
65	4.383	5.35	-16.1
66	4.367	4.832	-16.03
67	4.246	5.207	-15.9
68	4.402	5.11	-15.875
69	4.344	5.363	-15.86
70	4.445	5.438	-16.03
71	4.41	5.22	-15.695
72	4.098	4.984	-15.81
73	4.617	5.332	-15.79
74	4.156	5.27	-15.81
75	4.543	4.836	-16.02
76	4.57	4.652	-16.05
77	4.36	5.406	-16.16
78	4.434	5.164	-15.86
79	4.145	5.316	-15.83
80	4.633	5.008	-15.766
81	4.684	4.984	-16.02
82	4.844	4.805	-15.98
83	4.586	4.93	-15.76
84	4.465	5.02	-15.9
85	3.992	5.598	-16.17
86	4.773	5.09	-16.12
87	4.49	4.914	-15.75
88	4.516	4.637	-15.984
89	4.53	5.02	-16.27
90	4.52	4.758	-15.99
91	4.156	4.844	-15.88
92	4.81	4.535	-15.875
93	4.992	5.086	-16.1
94	4.703	5.12	-16.16
95	4.81	4.79	-16.0
96	4.355	5.168	-16.12
97	4.5	5.168	-15.805
98	4.125	5.29	-15.9
99	5.23	5.008	-16.0
100	5.195	5.457	-15.734
Average	4.363	5.27	-15.89
