Frame	X	Y	Z
1	5.89	14.38	-16.27
2	5.22	14.58	-16.19
3	5.227	14.83	-16.17
4	6.016	14.805	-16.22
5	5.77	14.15	-16.22
6	5.867	14.32	-16.16
7	6.11	13.8	-16.17
8	5.566	14.08	-16.27
9	5.59	14.35	-16.05
10	5.766	14.16	-16.17
11	5.664	14.06	-16.16
12	4.977	14.52	-16.62
13	5.45	14.07	-16.06
14	5.68	14.4	-16.25
15	5.777	14.125	-16.38
16	5.58	14.445	-16.48
17	5.746	14.11	-16.39
18	5.402	14.48	-16.36
19	5.09	14.05	-15.99
20	5.285	14.04	-16.2
21	5.973	14.27	-15.82
22	6.336	13.51	-16.1
23	5.348	14.06	-15.8
24	5.6	13.79	-15.92
25	6.18	14.6	-15.87
26	5.594	13.95	-16.36
27	5.906	14.086	-16.06
28	5.44	13.74	-16.39
29	5.754	13.48	-16.11
30	5.742	13.664	-16.14
31	5.508	13.67	-16.83
32	4.97	14.62	-16.45
33	5.41	14.664	-15.516
34	5.09	13.74	-16.62
35	5.31	14.305	-16.06
36	5.406	13.94	-16.16
37	5.426	14.32	-15.73
38	5.066	13.31	-16.86
39	5.59	13.46	-16.17
40	4.934	13.51	-16.67
41	5.38	13.87	-16.48
42	5.45	14.29	-16.27
43	5.723	13.73	-16.06
44	5.324	14.42	-16.2
45	6.07	13.92	-16.31
46	5.035	14.92	-16.4
47	5.87	14.48	-16.4
48	5.8	14.41	-16.27
49	5.883	13.8	-16.44
50	6.066	13.945	-16.06
51	5.906	13.58	-16.31
52	5.35	13.99	-16.81
53	5.86	14.34	-16.75
54	5.62	14.66	-16.06
55	5.39	14.13	-16.5
56	4.86	14.29	-16.39
57	4.9	13.92	-16.48
58	5.043	14.18	-16.14
59	4.734	14.195	-16.27
60	5.062	14.36	-16.44
61	4.504	13.71	-16.3
62	4.406	14.57	-16.06
63	4.285	14.93	-15.89
64	4.105	14.555	-16.22
65	4.867	14.2	-16.44
66	4.39	14.07	-16.1
67	4.348	13.95	-16.6
68	4.84	14.14	-15.9
69	5.125	14.26	-16.05
70	4.863	14.13	-16.31
71	5.086	14.055	-16.44
72	5.008	13.695	-16.67
73	5.086	14.125	-16.28
74	4.848	13.88	-16.16
75	4.74	13.9	-16.44
76	4.934	13.31	-16.25
77	5.18	14.17	-16.16
78	5.05	13.8	-16.34
79	4.86	13.95	-16.33
80	5.027	14.27	-16.22
81	5.02	13.45	-16.48
82	5.08	13.44	-16.23
83	4.52	13.71	-16.1
84	4.95	13.77	-16.23
85	4.637	14.45	-16.66
86	5.133	13.92	-16.67
87	4.57	13.44	-16.23
88	5.176	13.51	-16.55
89	5.035	13.555	-16.77
90	5.15	13.414	-16.69
91	4.973	13.41	-16.34
92	5.41	13.336	-16.61
93	5.332	13.664	-16.14
94	5.35	13.56	-16.42
95	5.22	13.414	-16.8
96	5.633	13.71	-16.25
97	5.227	13.805	-16.03
98	5.055	13.85	-16.19
99	5.586	14.51	-16.48
100	5.555	14.586	-16.16
Average	5.297	14.04	-16.28
